name,element,GW,assists,bonus,goals_scored,minutes,own_goals,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Moussa Diaby,599,8,4,2,2,620,0,0,12.5,557708,0,6.7,42,-7.916666666666664
Mykhailo Mudryk,210,8,0,0,1,241,0,0,1.0,-183812,1,6.3,15,-2.75
Máximo Perrone,363,8,0,0,0,0,0,0,0.0,-1739,0,4.4,0,0.0
Naouirou Ahamada,219,8,0,0,0,36,0,0,0.1,-11852,0,4.3,3,-0.875
Nathan Redmond,600,8,0,0,0,53,0,0,0.0,-3391,0,4.8,3,-0.625
Nicolas Pépé,16,8,0,0,0,0,0,0,0.1,-5149,0,4.9,0,0.0
Nicolás Domínguez,712,8,0,3,1,259,0,0,0.0,1391,0,5.0,15,1.1333333333333329
Nicolò Zaniolo,672,8,0,0,0,256,0,0,0.1,4740,1,5.5,7,-1.0476190476190474
Nikola Vlašić,543,8,0,0,0,0,0,0,0.1,-12211,0,4.5,0,0.0
Noni Madueke,208,8,0,0,0,44,0,0,0.1,-5207,0,5.3,3,-0.5833333333333335
Oliver Norwood,488,8,0,0,0,520,0,0,0.0,-1126,2,4.9,11,-2.333333333333334
Oliver Skipp,515,8,0,0,0,116,0,0,0.1,-13744,1,4.7,5,-0.5833333333333335
Omari Forson,632,8,0,0,0,0,0,0,0.0,-352,0,4.5,0,0.0
Omari Kellyman,618,8,0,0,0,0,0,0,0.1,390,0,4.5,0,0.0
Orel Mangala,453,8,0,0,0,560,0,0,0.0,-926,3,5.0,13,-1.958333333333334
Oscar Bobb,345,8,1,0,0,47,0,0,0.1,1128,0,4.4,6,-1.2083333333333337
Pablo Fornals Malla,534,8,0,0,0,141,0,0,0.1,-4953,0,4.8,7,-1.125
Pablo Sarabia,570,8,1,0,0,172,0,0,0.1,-4021,0,4.9,9,-1.125
Pape Matar Sarr,513,8,1,2,1,556,0,0,3.4,207613,2,4.6,24,-3.708333333333332
Pascal Groß,134,8,0,6,2,528,0,0,1.5,-249832,1,6.3,28,-8.5
Pedro Lomba Neto,567,8,6,5,1,720,0,0,8.4,785855,2,5.7,43,-10.583333333333336
Pelly Ruddock Mpanzu,582,8,0,0,0,413,0,0,0.0,-2185,0,4.9,12,-1.5
Phil Foden,353,8,3,6,1,605,0,0,12.3,300995,0,7.6,38,-8.125
Philip Billing,63,8,0,0,0,690,0,0,0.4,-34952,0,5.3,17,-3.5
Philippe Coutinho Correia,38,8,0,0,0,24,0,0,0.2,-40695,0,5.8,2,-0.125
Pierre-Emile Højbjerg,499,8,0,0,0,125,0,0,0.3,-31458,2,5.2,5,-1.25
Raheem Sterling,216,8,3,6,3,637,0,0,9.3,604925,2,7.0,45,-5.333333333333332
Reiss Nelson,578,8,0,0,0,35,0,0,0.0,259,0,4.9,3,-0.75
Remo Freuler,446,8,0,0,0,0,0,0,0.0,-1668,0,4.9,0,0.0
Richarlison de Andrade,509,8,2,0,1,392,0,0,2.0,-195495,2,6.7,21,-5.333333333333332
Riyad Mahrez,359,8,0,0,0,0,0,0,0.0,-5302,0,7.5,0,0.0
Rodrigo Bentancur,492,8,0,0,0,0,0,0,0.0,-404,0,5.4,0,0.0
Rodrigo Hernandez,365,8,1,5,2,480,0,0,5.8,7039,2,5.6,26,-3.166666666666668
Roméo Lavia,667,8,0,0,0,0,0,0,0.0,-179,0,4.9,0,0.0
Ross Barkley,630,8,0,0,0,155,0,0,0.1,-11644,0,4.9,5,-1.125
Ryan Christie,65,8,1,0,0,569,0,0,0.1,4674,0,5.0,18,-4.25
Ryan Fraser,410,8,0,0,0,0,0,0,0.0,-3587,0,4.9,0,0.0
Ryan Gravenberch,708,8,0,0,0,69,0,0,0.1,6412,0,5.0,4,0.0
Ryan Trevitt,118,8,0,0,0,0,0,0,0.0,-1447,0,4.5,0,0.0
Ryan Yates,470,8,0,0,0,324,0,0,0.0,-1653,2,4.9,8,-1.875
