name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,value,transfers_balance,yellow_cards,total_points,mean_reversion
Divock Origi,714,4,0,0,0,0,0,0,0,0.0,5.0,1888,0,0,0.0
Divock Origi,714,5,0,0,0,19,0,0,0,0.1,5.0,7122,0,1,0.0
Divock Origi,714,6,0,0,0,34,0,0,0,0.1,5.0,9180,1,1,0.0
Divock Origi,714,7,0,0,0,44,0,0,0,0.1,5.0,9919,1,2,0.33333333333333337
Divock Origi,714,8,0,0,0,58,0,0,0,0.1,5.0,10170,1,3,0.06666666666666665
Dominic Calvert-Lewin,246,1,0,0,0,0,0,0,0,0.8,6.0,-15149,0,0,0.0
Dominic Calvert-Lewin,246,2,0,0,2,37,0,0,0,0.6,5.9,-35912,0,1,0.0
Dominic Calvert-Lewin,246,3,0,0,2,37,0,0,0,0.4,5.8,-50389,0,1,0.0
Dominic Calvert-Lewin,246,4,0,0,2,37,0,0,0,0.3,5.8,-60057,0,1,0.08333333333333337
Dominic Calvert-Lewin,246,5,0,0,3,61,0,0,0,0.3,5.8,-62136,0,2,0.0
Dominic Calvert-Lewin,246,6,0,0,3,88,0,0,0,0.5,5.8,-44626,0,7,0.6666666666666667
Dominic Calvert-Lewin,246,7,0,0,5,178,0,0,0,1.3,5.8,33683,0,13,0.23809523809523814
Dominic Calvert-Lewin,246,8,0,1,5,260,0,0,0,1.5,5.8,55376,0,15,-2.333333333333333
Dominic Solanke,85,1,1,0,1,90,0,0,0,3.0,6.5,-2553,0,7,0.0
Dominic Solanke,85,2,1,0,4,180,0,0,0,2.9,6.5,-7404,0,12,0.0
Dominic Solanke,85,3,1,0,6,270,0,0,0,2.8,6.5,-17678,0,14,0.0
Dominic Solanke,85,4,2,0,8,360,0,0,0,2.6,6.5,-32866,0,21,2.5
Dominic Solanke,85,5,2,1,8,450,0,0,0,2.4,6.5,-46591,0,23,-0.2666666666666657
Dominic Solanke,85,6,2,1,11,540,0,0,0,2.4,6.4,-52619,0,29,-1.6666666666666643
Dominic Solanke,85,7,2,1,15,630,0,0,0,2.5,6.4,-39348,0,31,-4.761904761904759
Dominic Solanke,85,8,2,1,18,720,0,0,0,2.8,6.4,-10415,1,32,-6.541666666666668
Eddie Nketiah,13,1,2,1,0,72,0,0,0,4.3,5.5,83107,0,8,0.0
Eddie Nketiah,13,2,2,2,0,150,0,0,0,6.5,5.6,238397,0,13,0.0
