name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Ethan Horvath,449,3,0,0,0,0,0,0,0,0.1,-2662,0,4.5,0,0.0
Ethan Horvath,449,4,0,0,0,0,0,0,0,0.1,-3330,0,4.4,0,0.0
Ethan Horvath,449,5,0,0,0,0,0,0,0,0.1,-3686,0,4.4,0,0.0
Ethan Horvath,449,6,0,0,0,0,0,0,0,0.1,-4106,0,4.4,0,0.0
Filip Marschall,670,2,0,0,0,0,0,0,0,0.0,100,0,4.0,0,0.0
Filip Marschall,670,3,0,0,0,0,0,0,0,0.0,257,0,4.0,0,0.0
Filip Marschall,670,4,0,0,0,0,0,0,0,0.0,426,0,4.0,0,0.0
Filip Marschall,670,5,0,0,0,0,0,0,0,0.0,548,0,4.0,0,0.0
Filip Marschall,670,6,0,0,0,0,0,0,0,0.0,590,0,4.0,0,0.0
Fraser Forster,498,1,0,0,0,0,0,0,0,3.9,-29083,0,4.0,0,0.0
Fraser Forster,498,2,0,0,0,0,0,0,0,3.4,-63227,0,4.0,0,0.0
Fraser Forster,498,3,0,0,0,0,0,0,0,3.2,-77150,0,4.0,0,0.0
Fraser Forster,498,4,0,0,0,0,0,0,0,2.9,-95668,0,4.0,0,0.0
Fraser Forster,498,5,0,0,0,0,0,0,0,2.7,-108642,0,4.0,0,0.0
Fraser Forster,498,6,0,0,0,0,0,0,0,2.6,-121269,0,4.0,0,0.0
Gabriel Słonina,215,1,0,0,0,0,0,0,0,0.1,-997,0,4.0,0,0.0
Gabriel Słonina,215,2,0,0,0,0,0,0,0,0.1,-1842,0,4.0,0,0.0
Gabriel Słonina,215,3,0,0,0,0,0,0,0,0.0,-2217,0,4.0,0,0.0
Gabriel Słonina,215,4,0,0,0,0,0,0,0,0.0,-2613,0,4.0,0,0.0
Gabriel Słonina,215,5,0,0,0,0,0,0,0,0.0,-2794,0,4.0,0,0.0
Gabriel Słonina,215,6,0,0,0,0,0,0,0,0.0,-3007,0,4.0,0,0.0
George Shelvey,636,1,0,0,0,0,0,0,0,0.0,27,0,4.0,0,0.0
George Shelvey,636,2,0,0,0,0,0,0,0,0.0,-131,0,4.0,0,0.0
George Shelvey,636,3,0,0,0,0,0,0,0,0.0,-311,0,4.0,0,0.0
George Shelvey,636,4,0,0,0,0,0,0,0,0.0,-401,0,4.0,0,0.0
